opus,key,performer,year,time,seconds,label,pid,status,piece_path,performer_label
6.1,F# min,Milkina,1970,3:21,201,Unterschrift/EMI,9099-01,-,mazurka06-1/pid9099-01,35
6.1,F# min,Mohovich,1999,3:11,191,Agora AG 231.2,9104-01,-,mazurka06-1/pid9104-01,36
6.1,F# min,Ohlsson,1999,2:35,155,Arabesque Z6730-2,9153-01,-,mazurka06-1/pid9153-01,38
6.1,F# min,Osinska,1989,3:07,187,Cassiopee 969 213/6,9101-01,-,mazurka06-1/pid9101-01,40
6.1,F# min,Poblocka,1999,3:06,186,BeArTon CDB012/13,9093-01,-,mazurka06-1/pid9093-01,42
6.1,F# min,Rangell,2001,2:45,165,Dorian DOR-93258,9094-01,-,mazurka06-1/pid9094-01,43
6.1,F# min,Rosen,1989,3:07,187,Globe 5028 ,52932-01,-,mazurka06-1/pid52932-01,44
6.1,F# min,Rubinstein,1939,2:00,120,Naxos 8.110656-57,9049-01,-,mazurka06-1/pid9049-01,46
6.1,F# min,Rubinstein,1952,2:49,169,BMG 09026 63027-2,9075-01,-,mazurka06-1/pid9075-01,46
6.1,F# min,Rubinstein,1966,2:37,157,BMG 09026-63050-2,9059-01,-,mazurka06-1/pid9059-01,46
6.1,F# min,Shebanova,2002,3:07,187,DUX 0350/0351,9072-01,-,mazurka06-1/pid9072-01,47
6.1,F# min,Smith,1975,2:15,135,EMI 724358576726,9054-01,-,mazurka06-1/pid9054-01,48
6.1,F# min,Sztompka,1959,2:32,152,Muza PNOD 313 A/B,9170-01,-,mazurka06-1/pid9170-01,50
6.1,F# min,Uninsky,1932,1:40,100,Muza PNCD006,9085-10,-,mazurka06-1/pid9085-10,51
6.1,F# min,Uninsky,1959,1:47,107,Philips 442 574-2,9061-01,-,mazurka06-1/pid9061-01,51
6.1,F# min,Vardi,1988,3:20,200,Carriere Classics 21.0017,9173-06,-,mazurka06-1/pid9173-06,52
6.1,F# min,Wasowski,1980,2:10,130,Concord CCD-42036,9111-01,-,mazurka06-1/pid9111-01,53
6.2,C# min,Ashkenazy,1981,2:28,148,Decca 448 086-2,9058-02,-,mazurka06-2/pid9058-02,0
6.2,C# min,Bacha,1997,2:22,142,Forlane 126817,9166c-04,-,mazurka06-2/pid9166c-04,1
6.2,C# min,Barbosa,1983,2:36,156,Centaur CRC2098/9,9174-02,-,mazurka06-2/pid9174-02,2
6.2,C# min,Biret,1990,3:00,180,Naxos 8.550359,9062-02,-,mazurka06-2/pid9062-02,3
6.2,C# min,Brailowsky,1960,2:34,154,Sony SB2K 63237,9060-02,-,mazurka06-2/pid9060-02,6
6.2,C# min,Chiu,1999,2:42,162,HMX 2907352.53,9048-02,-,mazurka06-2/pid9048-02,7
6.2,C# min,Clidat,1994,2:21,141,Forlane UCD16729 ,9067-02,-,mazurka06-2/pid9067-02,8
6.2,C# min,Cohen,1997,2:41,161,Glossa 920506 ,9105-02,-,mazurka06-2/pid9105-02,9
6.2,C# min,Cortot,1951,2:40,160,Concert Artist 9180/12 ,9066-02,-,mazurka06-2/pid9066-02,10
6.2,C# min,Csalog,1996,3:23,203,Hungaroton HCD 31755/6,1263-02,-,mazurka06-2/pid1263-02,11
6.2,C# min,Czerny-Stefanska,1989,2:21,141,Pony Canyon Classics PCCL-00460,9192-02,-,mazurka06-2/pid9192-02,12
6.2,C# min,Ezaki,2006,2:39,159,Triton OVCT-00035,9139-02,-,mazurka06-2/pid9139-02,13
6.2,C# min,Falvay,1989,2:29,149,Naxos 8.550256 ,9068-02,-,mazurka06-2/pid9068-02,14
6.2,C# min,Ferenczy,1958,2:57,177,Hungaroton HCD 32121,9097-10,-,mazurka06-2/pid9097-10,15
6.2,C# min,Fiorentino,1958,2:40,160,Con. Artist 9200-2 ,9065-01,-,mazurka06-2/pid9065-01,16
6.2,C# min,Fliere,1977,2:41,161,Melodia 10 00439,9063-02,-,mazurka06-2/pid9063-02,17
6.2,C# min,Fou,1978,2:45,165,Sony SB2K 53 246,9071-07,-,mazurka06-2/pid9071-07,18
6.2,C# min,Francois,1956,1:36,96,EMI CZS 7 67413 2,9070-10,-,mazurka06-2/pid9070-10,19
6.2,C# min,Hatto,1993,2:48,168,Con. Artist FED4-TC-0116/7,610003-04,-,mazurka06-2/pid610003-04,22
6.2,C# min,Hatto,2006,2:45,165,Con. Artist 9270/12,9073-04,-,mazurka06-2/pid9073-04,22
6.2,C# min,Indjic,1988,2:46,166,Calliope 3321,9050-02,-,mazurka06-2/pid9050-02,24
6.2,C# min,Kapell,1951,2:16,136,RCA 09026-68990-2,9090-01,-,mazurka06-2/pid9090-01,25
6.2,C# min,Kushner,1990,2:31,151,Connoisseur CD4181/2,9118-02,-,mazurka06-2/pid9118-02,26
6.2,C# min,Lilamand,2001,2:07,127,Concerto Royale 206220-3600,9186c-02,-,mazurka06-2/pid9186c-02,27
6.2,C# min,Luisada,1990,2:31,151,DG 463054-2,9055-02,-,mazurka06-2/pid9055-02,28
6.2,C# min,Lushtak,2004,2:22,142,Centaur CRC 2707,9088-02,-,mazurka06-2/pid9088-02,29
6.2,C# min,Magaloff,1977,2:46,166,Phillips 426 817/29-2,9074f-02,-,mazurka06-2/pid9074f-02,30
6.2,C# min,Magin,1975,2:16,136,Accord 465 665-2,9138-02,-,mazurka06-2/pid9138-02,31
6.2,C# min,Meguri,1997,1:44,104,Live Notes WWCC-7313,9137-02,-,mazurka06-2/pid9137-02,33
6.2,C# min,Milkina,1970,2:30,150,Unterschrift/EMI,9099-02,-,mazurka06-2/pid9099-02,35
6.2,C# min,Mohovich,1999,2:42,162,Agora AG 231.2,9104-02,-,mazurka06-2/pid9104-02,36
6.2,C# min,Ohlsson,1999,2:37,157,Arabesque Z6730-2,9153-02,-,mazurka06-2/pid9153-02,38
6.2,C# min,Osinska,1989,2:29,149,Cassiopee 969 213/6,9101-02,-,mazurka06-2/pid9101-02,40
6.2,C# min,Poblocka,1999,2:25,145,BeArTon CDB012/13,9093-02,-,mazurka06-2/pid9093-02,42
6.2,C# min,Rangell,2001,2:00,120,Dorian DOR-93258,9094-02,-,mazurka06-2/pid9094-02,43
6.2,C# min,Rosen,1989,2:14,134,Globe 5028 ,52932-02,-,mazurka06-2/pid52932-02,44
6.2,C# min,Rubinstein,1939,2:28,148,Naxos 8.110656-57,9049-02,-,mazurka06-2/pid9049-02,46
6.2,C# min,Rubinstein,1952,2:22,142,BMG 09026 63027-2,9075-02,-,mazurka06-2/pid9075-02,46
6.2,C# min,Rubinstein,1966,2:42,162,BMG 09026-63050-2,9059-02,-,mazurka06-2/pid9059-02,46
6.2,C# min,Shebanova,2002,2:25,145,DUX 0350/0351,9072-02,-,mazurka06-2/pid9072-02,47
6.2,C# min,Smith,1975,2:50,170,EMI 724358576726,9054-02,-,mazurka06-2/pid9054-02,48
6.2,C# min,Uninsky,1971,2:04,124,Philips 442 574-2,9061-02,-,mazurka06-2/pid9061-02,51
6.2,C# min,Vardi,1988,2:40,160,Carriere Classics 21.0017,9173-07,-,mazurka06-2/pid9173-07,52
6.2,C# min,Wasowski,1980,2:06,126,Concord CCD-42036,9111-02,-,mazurka06-2/pid9111-02,53
6.3,E maj,Ashkenazy,1981,1:36,96,Decca 448 086-2,9058-03,-,mazurka06-3/pid9058-03,0
6.3,E maj,Bacha,1997,1:35,95,Forlane 126817,9166c-05,-,mazurka06-3/pid9166c-05,1
6.3,E maj,Barbosa,1983,1:40,100,Centaur CRC2098/9,9174-03,-,mazurka06-3/pid9174-03,2
6.3,E maj,Biret,1990,2:09,129,Naxos 8.550359,9062-03,-,mazurka06-3/pid9062-03,3
6.3,E maj,Brailowsky,1960,1:55,115,Sony SB2K 63237,9060-03,-,mazurka06-3/pid9060-03,6
6.3,E maj,Chiu,1999,2:09,129,HMX 2907352.53,9048-03,-,mazurka06-3/pid9048-03,7
6.3,E maj,Clidat,1994,1:47,107,Forlane UCD16729 ,9067-03,-,mazurka06-3/pid9067-03,8
6.3,E maj,Cohen,1997,1:50,110,Glossa 920506 ,9105-03,-,mazurka06-3/pid9105-03,9
6.3,E maj,Cortot,1951,2:04,124,Concert Artist 9180/12 ,9066-03,-,mazurka06-3/pid9066-03,10
6.3,E maj,Csalog,1996,1:43,103,Hungaroton HCD 31755/6,1263-03,-,mazurka06-3/pid1263-03,11
6.3,E maj,Czerny-Stefanska,1989,2:17,137,Pony Canyon Classics PCCL-00460,9192-03,-,mazurka06-3/pid9192-03,12
6.3,E maj,Ezaki,2006,1:49,109,Triton OVCT-00035,9139-03,-,mazurka06-3/pid9139-03,13
6.3,E maj,Ferenczy,1956,1:43,103,Hungaroton HCD 32121,9097-06,-,mazurka06-3/pid9097-06,15
6.3,E maj,Fliere,1977,1:44,104,Melodia 10 00439,9063-03,-,mazurka06-3/pid9063-03,17
6.3,E maj,Fou,1978,1:55,115,Sony SB2K 53 246,9071-08,-,mazurka06-3/pid9071-08,18
6.3,E maj,Francois,1956,1:32,92,EMI CZS 7 67413 2,9070-11,-,mazurka06-3/pid9070-11,19
6.3,E maj,Hatto,1993,1:55,115,Con. Artist FED4-TC-0116/7,610003-05,-,mazurka06-3/pid610003-05,22
6.3,E maj,Hatto,2006,1:52,112,Con. Artist 9270/12,9073-05,-,mazurka06-3/pid9073-05,22
6.3,E maj,Indjic,1988,1:55,115,Calliope 3321,9050-03,-,mazurka06-3/pid9050-03,24
6.3,E maj,Kushner,1990,2:13,133,Connoisseur CD4181/2,9118-03,-,mazurka06-3/pid9118-03,26
6.3,E maj,Lilamand,2001,1:28,88,Concerto Royale 206220-3600,9186c-03,-,mazurka06-3/pid9186c-03,27
6.3,E maj,Luisada,1990,2:20,140,DG 463054-2,9055-03,-,mazurka06-3/pid9055-03,28
6.3,E maj,Lushtak,2004,1:50,110,Centaur CRC 2707,9088-03,-,mazurka06-3/pid9088-03,29
6.3,E maj,Magaloff,1977,1:55,115,Phillips 426 817/29-2,9074f-03,-,mazurka06-3/pid9074f-03,30
6.3,E maj,Magin,1975,1:51,111,Accord 465 665-2,9138-03,-,mazurka06-3/pid9138-03,31
6.3,E maj,Meguri,1997,1:24,84,Live Notes WWCC-7313,9137-03,-,mazurka06-3/pid9137-03,33
6.3,E maj,Milkina,1970,2:05,125,Unterschrift/EMI,9099-03,-,mazurka06-3/pid9099-03,35
6.3,E maj,Mohovich,1999,1:57,117,Agora AG 231.2,9104-03,-,mazurka06-3/pid9104-03,36
6.3,E maj,Ohlsson,1999,1:46,106,Arabesque Z6730-2,9153-03,-,mazurka06-3/pid9153-03,38
6.3,E maj,Osinska,1989,1:56,116,Cassiopee 969 213/6,9101-03,-,mazurka06-3/pid9101-03,40
6.3,E maj,Poblocka,1999,1:47,107,BeArTon CDB012/13,9093-03,-,mazurka06-3/pid9093-03,42
6.3,E maj,Rangell,2001,1:50,110,Dorian DOR-93258,9094-03,-,mazurka06-3/pid9094-03,43
6.3,E maj,Rosen,1989,1:47,107,Globe 5028 ,52932-03,-,mazurka06-3/pid52932-03,44
6.3,E maj,Rubinstein,1939,1:48,108,Naxos 8.110656-57,9049-03,-,mazurka06-3/pid9049-03,46
6.3,E maj,Rubinstein,1939,1:52,112,Muza PNCD 300,9091-20,-,mazurka06-3/pid9091-20,46
6.3,E maj,Rubinstein,1952,1:58,118,BMG 09026 63027-2,9075-03,-,mazurka06-3/pid9075-03,46
6.3,E maj,Rubinstein,1966,2:04,124,BMG 09026-63050-2,9059-03,-,mazurka06-3/pid9059-03,46
6.3,E maj,Shebanova,2002,1:48,108,DUX 0350/0351,9072-03,-,mazurka06-3/pid9072-03,47
6.3,E maj,Smith,1975,4:26,266,EMI 724358576726,9054-03,-,mazurka06-3/pid9054-03,48
6.3,E maj,Sofronitsky,1949,1:39,99,Vista Vera VVCD-00118-2,9114-27,-,mazurka06-3/pid9114-27,49
6.3,E maj,Uninsky,1971,1:43,103,Philips 442 574-2,9061-03,-,mazurka06-3/pid9061-03,51
6.3,E maj,Vardi,1988,2:20,140,Carriere Classics 21.0017,9173-08,-,mazurka06-3/pid9173-08,52
6.3,E maj,Wasowski,1980,2:05,125,Concord CCD-42036,9111-03,-,mazurka06-3/pid9111-03,53
6.4,E min,Ashkenazy,1981,0:58,58,Decca 448 086-2,9058-04,precor,mazurka06-4/pid9058-04,0
6.4,E min,Bacha,1997,0:42,42,Forlane 126817,9166c-06,-,mazurka06-4/pid9166c-06,1
6.4,E min,Barbosa,1983,0:37,37,Centaur CRC2098/9,9174-04,-,mazurka06-4/pid9174-04,2
6.4,E min,Biret,1990,0:43,43,Naxos 8.550359,9062-04,precor,mazurka06-4/pid9062-04,3
6.4,E min,Brailowsky,1960,0:48,48,Sony SB2K 63237,9060-04,precor,mazurka06-4/pid9060-04,6
6.4,E min,Chiu,1999,1:04,64,HMX 2907352.53,9048-04,precor,mazurka06-4/pid9048-04,7
6.4,E min,Clidat,1994,0:45,45,Forlane UCD16729 ,9067-04,precor,mazurka06-4/pid9067-04,8
6.4,E min,Cohen,1997,1:16,76,Glossa 920506 ,9105-04,-,mazurka06-4/pid9105-04,9
6.4,E min,Cortot,1951,1:01,61,Concert Artist 9180/12 ,9066-04,-,mazurka06-4/pid9066-04,10
6.4,E min,Csalog,1996,0:40,40,Hungaroton HCD 31755/6,1263-04,-,mazurka06-4/pid1263-04,11
6.4,E min,Czerny-Stefanska,1989,1:11,71,Pony Canyon Classics PCCL-00460,9192-04,-,mazurka06-4/pid9192-04,12
6.4,E min,Ezaki,2006,0:54,54,Triton OVCT-00035,9139-04,-,mazurka06-4/pid9139-04,13
6.4,E min,Ferenczy,1958,1:30,90,Hungaroton HCD 32121,9097-11,-,mazurka06-4/pid9097-11,15
6.4,E min,Fliere,1977,0:46,46,Melodia 10 00439,9063-04,-,mazurka06-4/pid9063-04,17
6.4,E min,Fou,1978,0:58,58,Sony SB2K 53 246,9071-09,-,mazurka06-4/pid9071-09,18
6.4,E min,Francois,1956,0:25,25,EMI CZS 7 67413 2,9070-12,-,mazurka06-4/pid9070-12,19
6.4,E min,Hatto,1993,0:45,45,Con. Artist FED4-TC-0116/7,610003-06,-,mazurka06-4/pid610003-06,22
6.4,E min,Hatto,2006,0:43,43,Con. Artist 9270/12,9073-06,-,mazurka06-4/pid9073-06,22
6.4,E min,Indjic,1988,0:46,46,Calliope 3321,9050-04,-,mazurka06-4/pid9050-04,24
6.4,E min,Kushner,1990,0:50,50,Connoisseur CD4181/2,9118-04,-,mazurka06-4/pid9118-04,26
6.4,E min,Lilamand,2001,0:39,39,Concerto Royale 206220-3600,9186c-04,-,mazurka06-4/pid9186c-04,27
6.4,E min,Luisada,1990,0:57,57,DG 463054-2,9055-04,-,mazurka06-4/pid9055-04,28
6.4,E min,Lushtak,2004,1:00,60,Centaur CRC 2707,9088-04,-,mazurka06-4/pid9088-04,29
6.4,E min,Magaloff,1977,0:46,46,Phillips 426 817/29-2,9074f-04,-,mazurka06-4/pid9074f-04,30
6.4,E min,Magin,1975,0:48,48,Accord 465 665-2,9138-04,-,mazurka06-4/pid9138-04,31
6.4,E min,Milkina,1970,1:12,72,Unterschrift/EMI,9099-04,-,mazurka06-4/pid9099-04,35
6.4,E min,Mohovich,1999,0:49,49,Agora AG 231.2,9104-04,-,mazurka06-4/pid9104-04,36
6.4,E min,Ohlsson,1999,0:40,40,Arabesque Z6730-2,9153-04,-,mazurka06-4/pid9153-04,38
6.4,E min,Osinska,1989,0:43,43,Cassiopee 969 213/6,9101-04,-,mazurka06-4/pid9101-04,40
6.4,E min,Poblocka,1999,0:42,42,BeArTon CDB012/13,9093-04,-,mazurka06-4/pid9093-04,42
6.4,E min,Rangell,2001,1:00,60,Dorian DOR-93258,9094-04,-,mazurka06-4/pid9094-04,43
6.4,E min,Rosen,1989,0:48,48,Globe 5028 ,52932-04,-,mazurka06-4/pid52932-04,44
6.4,E min,Rubinstein,1939,0:26,26,Naxos 8.110656-57,9049-04,-,mazurka06-4/pid9049-04,46
6.4,E min,Rubinstein,1952,0:34,34,BMG 09026 63027-2,9075-04,-,mazurka06-4/pid9075-04,46
6.4,E min,Rubinstein,1966,0:40,40,BMG 09026-63050-2,9059-04,-,mazurka06-4/pid9059-04,46
6.4,E min,Shebanova,2002,0:54,54,DUX 0350/0351,9072-04,-,mazurka06-4/pid9072-04,47
6.4,E min,Smith,1975,3:54,234,EMI 724358576726,9054-04,-,mazurka06-4/pid9054-04,48
6.4,E min,Sofronitsky,1949,0:46,46,Vista Vera VVCD-00118-2,9114-31,-,mazurka06-4/pid9114-31,49
6.4,E min,Sztompka,1959,0:50,50,Muza PNOD 313 A/B,9170-04,-,mazurka06-4/pid9170-04,50
6.4,E min,Uninsky,1971,0:39,39,Philips 442 574-2,9061-04,-,mazurka06-4/pid9061-04,51
6.4,E min,Vardi,1988,0:38,38,Carriere Classics 21.0017,9173-09,-,mazurka06-4/pid9173-09,52
6.4,E min,Wasowski,1980,0:40,40,Concord CCD-42036,9111-04,-,mazurka06-4/pid9111-04,53
7.1,B maj,Ashkenazy,1981,1:47,107,Decca 448 086-2,9058-05,-,mazurka07-1/pid9058-05,0
7.1,B maj,Bacha,1997,2:10,130,Forlane 126817,9166c-08,-,mazurka07-1/pid9166c-08,1
7.1,B maj,Barbosa,1983,2:15,135,Centaur CRC2098/9,9174-05,-,mazurka07-1/pid9174-05,2
7.1,B maj,Biret,1990,2:35,155,Naxos 8.550359,9062-05,-,mazurka07-1/pid9062-05,3
7.1,B maj,Blet,2003,2:35,155,Marcal MA030501,9103-02,-,mazurka07-1/pid9103-02,4
7.1,B maj,Brailowsky,1960,2:38,158,Sony SB2K 63237,9060-05,-,mazurka07-1/pid9060-05,6
7.1,B maj,Chiu,1999,2:16,136,HMX 2907352.53,9048-05,-,mazurka07-1/pid9048-05,7
7.1,B maj,Clidat,1994,2:09,129,Forlane UCD16729 ,9067-05,-,mazurka07-1/pid9067-05,8
7.1,B maj,Cohen,1997,2:56,176,Glossa 920506 ,9105-05,-,mazurka07-1/pid9105-05,9
7.1,B maj,Cortot,1951,2:25,145,Concert Artist 9180/12 ,9066-05,-,mazurka07-1/pid9066-05,10
7.1,B maj,Csalog,1996,2:26,146,Hungaroton HCD 31755/6,1263-05,-,mazurka07-1/pid1263-05,11
7.1,B maj,Czerny-Stefanska,1949,2:14,134,Muza PNCD002,9086-05,-,mazurka07-1/pid9086-05,12
7.1,B maj,Czerny-Stefanska,1989,2:14,134,Pony Canyon Classics PCCL-00460,9192-05,-,mazurka07-1/pid9192-05,12
7.1,B maj,Ezaki,2006,2:19,139,Triton OVCT-00035,9139-05,-,mazurka07-1/pid9139-05,13
7.1,B maj,Falvay,1989,2:05,125,Naxos 8.550256 ,9068-03,-,mazurka07-1/pid9068-03,14
7.1,B maj,Ferenczy,1957,2:23,143,Hungaroton HCD 32121,9097-08,-,mazurka07-1/pid9097-08,15
7.1,B maj,Fiorentino,1990,2:36,156,Con. Artist 9200-2 ,9065-02,-,mazurka07-1/pid9065-02,16
7.1,B maj,Fiorentino,1997,1:24,84,http://freenet-homepage.de/elumpe/mpegfiles.htm,7991-01,-,mazurka07-1/pid7991-01,16
7.1,B maj,Fliere,1977,2:16,136,Melodia 10 00439,9063-05,-,mazurka07-1/pid9063-05,17
7.1,B maj,Fou,1978,2:15,135,Sony SB2K 53 246,9071-10,-,mazurka07-1/pid9071-10,18
7.1,B maj,Francois,1956,1:10,70,EMI CZS 7 67413 2,9070-13,-,mazurka07-1/pid9070-13,19
7.1,B maj,Francois,1966,1:12,72,EMI 724382669029,9051-09,-,mazurka07-1/pid9051-09,19
7.1,B maj,Friedman,1929,2:04,124,Selene CD-s 9908.53,9148-12,-,mazurka07-1/pid9148-12,20
7.1,B maj,Friedman,1930,1:56,116,Philips 456 784-2 ,5667230-08,-,mazurka07-1/pid5667230-08,20
7.1,B maj,Hatto,1993,2:27,147,Con. Artist FED4-TC-0116/7,610003-07,-,mazurka07-1/pid610003-07,22
7.1,B maj,Hatto,2006,2:24,144,Con. Artist 9270/12,9073-07,-,mazurka07-1/pid9073-07,22
7.1,B maj,Indjic,1988,2:27,147,Calliope 3321,9050-05,-,mazurka07-1/pid9050-05,24
7.1,B maj,Kushner,1990,2:12,132,Connoisseur CD4181/2,9118-05,-,mazurka07-1/pid9118-05,26
7.1,B maj,Lilamand,2001,2:01,121,Concerto Royale 206220-3600,9186c-05,-,mazurka07-1/pid9186c-05,27
7.1,B maj,Luisada,1990,2:33,153,DG 463054-2,9055-05,-,mazurka07-1/pid9055-05,28
7.1,B maj,Malcuzynski,1961,2:32,152,EMI CZS 5 68226 2,918904-01,-,mazurka07-1/pid918904-01,32
7.1,B maj,Magaloff,1977,2:27,147,Phillips 426 817/29-2,9074f-05,-,mazurka07-1/pid9074f-05,30
7.1,B maj,Magin,1975,2:10,130,Accord 465 665-2,9138-05,-,mazurka07-1/pid9138-05,31
7.1,B maj,Milkina,1970,2:28,148,Unterschrift/EMI,9099-05,-,mazurka07-1/pid9099-05,35
7.1,B maj,Mohovich,1999,2:27,147,Agora AG 231.2,9104-05,-,mazurka07-1/pid9104-05,36
7.1,B maj,Ohlsson,1999,2:17,137,Arabesque Z6730-2,9153-05,-,mazurka07-1/pid9153-05,38
7.1,B maj,Olejniczac,1990,2:38,158,Na&iuml;ve OP20002,9100b-01,-,mazurka07-1/pid9100b-01,39
7.1,B maj,Osinska,1989,2:21,141,Cassiopee 969 213/6,9101-05,-,mazurka07-1/pid9101-05,40
7.1,B maj,Poblocka,1999,2:07,127,BeArTon CDB012/13,9093-06,-,mazurka07-1/pid9093-06,42
7.1,B maj,Rangell,2001,2:11,131,Dorian DOR-93258,9094-05,-,mazurka07-1/pid9094-05,43
7.1,B maj,Rubinstein,1939,2:14,134,Naxos 8.110656-57,9049-05,-,mazurka07-1/pid9049-05,46
7.1,B maj,Rubinstein,1952,2:09,129,BMG 09026 63027-2,9075-05,-,mazurka07-1/pid9075-05,46
7.1,B maj,Rubinstein,1966,2:35,155,BMG 09026-63050-2,9059-05,-,mazurka07-1/pid9059-05,46
7.1,B maj,Shebanova,2002,2:12,132,DUX 0350/0351,9072-05,-,mazurka07-1/pid9072-05,47
7.1,B maj,Smith,1975,1:35,95,EMI 724358576726,9054-05,-,mazurka07-1/pid9054-05,48
7.1,B maj,Uninsky,1959,1:45,105,Philips 442 574-2,9061-05,-,mazurka07-1/pid9061-05,51
7.1,B maj,Vardi,1988,2:33,153,Carriere Classics 21.0017,9173-10,-,mazurka07-1/pid9173-10,52
7.1,B maj,Wasowski,1980,2:16,136,Concord CCD-42036,9111-05,-,mazurka07-1/pid9111-05,53
7.2,A min,Ashkenazy,1981,3:14,194,Decca 448 086-2,9058-06,-,mazurka07-2/pid9058-06,0
7.2,A min,Bacha,1997,3:08,188,Forlane 126817,9166c-09,-,mazurka07-2/pid9166c-09,1
7.2,A min,Barbosa,1983,2:32,152,Centaur CRC2098/9,9174-06,-,mazurka07-2/pid9174-06,2
7.2,A min,Biret,1990,4:06,246,Naxos 8.550359,9062-06,-,mazurka07-2/pid9062-06,3
7.2,A min,Blet,2003,3:32,212,Marcal MA030501,9103-03,-,mazurka07-2/pid9103-03,4
7.2,A min,Block,1995,3:58,238,ProPiano PPR224507 ,9064-05,-,mazurka07-2/pid9064-05,5
7.2,A min,Brailowsky,1960,3:07,187,Sony SB2K 63237,9060-06,precor,mazurka07-2/pid9060-06,6
7.2,A min,Chiu,1999,3:37,217,HMX 2907352.53,9048-06,tap20,mazurka07-2/pid9048-06,7
7.2,A min,Clidat,1994,2:53,173,Forlane UCD16729 ,9067-06,-,mazurka07-2/pid9067-06,8
7.2,A min,Cohen,1997,3:32,212,Glossa 920506 ,9105-06,-,mazurka07-2/pid9105-06,9
7.2,A min,Cortot,1951,3:58,238,Concert Artist 9180/12 ,9066-06,-,mazurka07-2/pid9066-06,10
7.2,A min,Csalog,1996,3:34,214,Hungaroton HCD 31755/6,1263-06,-,mazurka07-2/pid1263-06,11
7.2,A min,Czerny-Stefanska,1989,3:46,226,Pony Canyon Classics PCCL-00460,9192-06,-,mazurka07-2/pid9192-06,12
7.2,A min,Ezaki,2006,4:39,279,Triton OVCT-00035,9139-06,-,mazurka07-2/pid9139-06,13
7.2,A min,Falvay,1989,3:08,188,Naxos 8.550256 ,9068-04,-,mazurka07-2/pid9068-04,14
7.2,A min,Ferenczy,1958,3:30,210,Hungaroton HCD 32121,9097-12,-,mazurka07-2/pid9097-12,15
